,logline
142,Successfully Called downstream service - Orchestrator
1165,Execution time
1264,Successfully Called downstream service - Orchestrator
1123,Processing graphql
1241,Successfully Called downstream service - Orchestrator
492,Execution time
1106,Processing graphql
152,Processing graphql
869,Zone map not found for postalCode N3R5L7
1725,Successfully Called downstream service - Orchestrator
1356,Processing graphql
918,Successfully Called downstream service - Orchestrator
516,Processing graphql
817,Execution time
167,Processing graphql
1326,Execution time
1073,Successfully Called downstream service - Orchestrator
337,Zone map not found for postalCode N3R5L7
1780,Successfully Called downstream service - Orchestrator
270,dbProximityEnabled false and configValue undefined
1294,Successfully Called downstream service - Orchestrator
883,dbProximityEnabled false and configValue undefined
1800,Successfully Called downstream service - Orchestrator
285,Execution time
225,Execution time
1712,Successfully Called downstream service - Orchestrator
1229,Execution time
958,Successfully Called downstream service - Orchestrator
74,Execution time
1401,Successfully Called downstream service - Orchestrator
821,dbProximityEnabled false and configValue undefined
1937,Processing graphql
1422,Execution time
1341,Processing graphql
717,Execution time
107,Processing graphql
1975,Zone map not found for postalCode N3R5L7
1826,ERROR java.lang.OutOfMemoryError: Java heap space
1619,Successfully Called downstream service - Orchestrator
53,Execution time
982,Successfully Called downstream service - Orchestrator
62,Processing graphql
455,ERROR java.lang.OutOfMemoryError: Java heap space
1603,Successfully Called downstream service - Orchestrator
1312,Successfully Called downstream service - Orchestrator
1501,dbProximityEnabled false and configValue undefined
592,Successfully Called downstream service - Orchestrator
951,Successfully Called downstream service - Orchestrator
1178,Execution time
948,Successfully Called downstream service - Orchestrator
234,Successfully Called downstream service - Orchestrator
1214,Execution time
886,Execution time
341,Processing graphql
1230,Execution time
620,Successfully Called downstream service - Orchestrator
110,Processing graphql
144,Processing graphql
1119,Execution time
1520,Successfully Called downstream service - Orchestrator
1755,Zone map not found for postalCode N3R5L7
1922,Zone map not found for postalCode N3R5L7
1074,Execution time
219,Processing graphql
588,Processing graphql
1749,Processing graphql
776,Execution time
1223,Processing graphql
1319,Execution time
208,Processing graphql
910,Zone map not found for postalCode N3R5L7
1676,Execution time
1056,Zone map not found for postalCode N3R5L7
1911,Execution time
863,Successfully Called downstream service - Orchestrator
536,Processing graphql
139,ERROR java.lang.OutOfMemoryError: Java heap space
551,Successfully Called downstream service - Orchestrator
1168,Successfully Called downstream service - Orchestrator
340,Execution time
1453,Successfully Called downstream service - Orchestrator
1462,Successfully Called downstream service - Orchestrator
1061,Successfully Called downstream service - Orchestrator
1431,Execution time
1034,Successfully Called downstream service - Orchestrator
868,ERROR java.lang.OutOfMemoryError: Java heap space
1397,Processing graphql
1883,Successfully Called downstream service - Orchestrator
248,Execution time
1915,Execution time
419,Successfully Called downstream service - Orchestrator
1290,Processing graphql
123,Execution time
1152,Successfully Called downstream service - Orchestrator
1197,Successfully Called downstream service - Orchestrator
100,Processing graphql
936,Execution time
1248,Execution time
1124,Successfully Called downstream service - Orchestrator
335,Successfully Called downstream service - Orchestrator
727,Successfully Called downstream service - Orchestrator
1936,Processing graphql
1831,Processing graphql
853,Execution time
1960,Successfully Called downstream service - Orchestrator
1276,Execution time
1000,dbProximityEnabled false and configValue undefined
667,Processing graphql
637,Successfully Called downstream service - Orchestrator
1824,Successfully Called downstream service - Orchestrator
346,Execution time
752,Execution time
233,Processing graphql
1536,Processing graphql
583,Execution time
1479,Execution time
1031,ERROR java.lang.OutOfMemoryError: Java heap space
926,Processing graphql
155,Zone map not found for postalCode N3R5L7
1789,Execution time
1339,ERROR java.lang.OutOfMemoryError: Java heap space
438,dbProximityEnabled false and configValue undefined
1934,Processing graphql
1661,Processing graphql
992,Execution time
1503,Successfully Called downstream service - Orchestrator
1747,Successfully Called downstream service - Orchestrator
1551,Execution time
80,Execution time
55,Successfully Called downstream service - Orchestrator
1062,Execution time
461,Successfully Called downstream service - Orchestrator
436,Successfully Called downstream service - Orchestrator
1697,Successfully Called downstream service - Orchestrator
348,Successfully Called downstream service - Orchestrator
1196,Processing graphql
1998,Tikoo is a bad bad boy
663,dbProximityEnabled false and configValue undefined
126,Successfully Called downstream service - Orchestrator
556,Execution time
275,Processing graphql
1257,Execution time
1042,ERROR java.lang.OutOfMemoryError: Java heap space
498,dbProximityEnabled false and configValue undefined
1845,Successfully Called downstream service - Orchestrator
